epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,12248.4,1.24508,0.40998,0.00136,0.9427,0.55499,0.7577,0.56503,1.45104,0.54402,0.0022,0.00150104,0.00150104,0.00150104
128,12346.8,1.22962,0.40333,0.00133,0.93925,0.5573,0.75709,0.55733,1.48295,0.55197,0.00226,0.00149708,0.00149708,0.00149708
129,12447.2,1.25632,0.41258,0.00135,0.9417,0.55418,0.75596,0.56069,1.45595,0.53041,0.00222,0.00149312,0.00149312,0.00149312
130,12546.4,1.23599,0.40714,0.00135,0.94258,0.55568,0.75739,0.55874,1.47954,0.54059,0.00224,0.00148916,0.00148916,0.00148916
131,12644.5,1.23741,0.40608,0.00134,0.93867,0.55164,0.75446,0.55609,1.49251,0.56846,0.00226,0.0014852,0.0014852,0.0014852
132,12741.3,1.23432,0.40783,0.00135,0.94279,0.54644,0.75328,0.56216,1.46246,0.54787,0.00221,0.00148124,0.00148124,0.00148124
133,12837.9,1.24702,0.40842,0.00136,0.94228,0.54887,0.75454,0.55562,1.48326,0.56951,0.00227,0.00147728,0.00147728,0.00147728
134,12934.5,1.23596,0.40501,0.00136,0.94451,0.55256,0.7564,0.55815,1.47735,0.5591,0.00224,0.00147332,0.00147332,0.00147332
135,13033.1,1.25661,0.4117,0.00133,0.9451,0.55488,0.75792,0.56259,1.45944,0.53817,0.00222,0.00146936,0.00146936,0.00146936
136,13129.5,1.24983,0.41274,0.0014,0.94077,0.55233,0.75455,0.55047,1.51194,0.55118,0.00226,0.0014654,0.0014654,0.0014654
137,13225.9,1.24502,0.40447,0.00135,0.94226,0.5543,0.75658,0.56329,1.45867,0.5511,0.00223,0.00146144,0.00146144,0.00146144
138,13321.9,1.22824,0.40613,0.00138,0.9378,0.56608,0.76164,0.56566,1.45053,0.52789,0.00218,0.00145748,0.00145748,0.00145748
139,13418.6,1.23751,0.40875,0.00134,0.9439,0.55395,0.75711,0.56482,1.45152,0.54316,0.00222,0.00145352,0.00145352,0.00145352
140,13514.6,1.20811,0.3981,0.00132,0.94008,0.56007,0.75909,0.56142,1.47984,0.53906,0.00223,0.00144956,0.00144956,0.00144956
141,13610.6,1.21114,0.39727,0.00129,0.93925,0.55372,0.75519,0.55915,1.47217,0.54116,0.00223,0.0014456,0.0014456,0.0014456
142,13708.2,1.21519,0.40039,0.00133,0.93585,0.55453,0.7544,0.55455,1.49658,0.56882,0.00229,0.00144164,0.00144164,0.00144164
143,13804.5,1.21052,0.39863,0.00132,0.9432,0.55638,0.75845,0.563,1.46754,0.54855,0.00223,0.00143768,0.00143768,0.00143768
144,13900.9,1.23608,0.40581,0.00135,0.94027,0.55649,0.75737,0.55982,1.47193,0.54554,0.00223,0.00143372,0.00143372,0.00143372
145,13996.3,1.21607,0.40048,0.0013,0.92935,0.5714,0.76143,0.56126,1.46807,0.53918,0.00221,0.00142976,0.00142976,0.00142976
