epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,7804.83,1.95674,0.73953,0.00233,0.95849,0.26941,0.61428,0.36918,2.17594,0.88189,0.0035,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525,0.00295575,0.00098525
84,7898.35,1.9472,0.74363,0.00232,0.95601,0.2887,0.6226,0.36826,2.20058,0.88503,0.00353,0.00291862,0.000972875,0.00291862,0.000972875,0.00291862,0.000972875,0.00291862,0.000972875
85,7991.4,1.96108,0.74292,0.00234,0.95788,0.27322,0.61579,0.37348,2.16839,0.88112,0.00348,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605,0.0028815,0.0009605
86,8084.88,1.95204,0.74499,0.00234,0.96182,0.25901,0.61052,0.3704,2.18074,0.88676,0.0035,0.00284438,0.000948125,0.00284438,0.000948125,0.00284438,0.000948125,0.00284438,0.000948125
87,8177.16,1.93128,0.74166,0.00231,0.96038,0.25485,0.60765,0.36708,2.19452,0.88952,0.00352,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575,0.00280725,0.00093575
88,8270.35,1.92484,0.74074,0.00233,0.95347,0.28882,0.62171,0.37194,2.1643,0.89027,0.00349,0.00277013,0.000923375,0.00277013,0.000923375,0.00277013,0.000923375,0.00277013,0.000923375
89,8364.23,1.94491,0.73476,0.00231,0.9471,0.29991,0.62469,0.36584,2.19701,0.89462,0.00352,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
90,8456.88,1.93217,0.73706,0.00233,0.9569,0.26675,0.61247,0.36849,2.183,0.88232,0.00349,0.00269587,0.000898625,0.00269587,0.000898625,0.00269587,0.000898625,0.00269587,0.000898625
91,8549.95,1.91244,0.72235,0.00229,0.95828,0.27068,0.61478,0.37162,2.16017,0.87847,0.00347,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625,0.00265875,0.00088625
92,8643.19,1.9444,0.73196,0.00232,0.95036,0.29194,0.62188,0.36579,2.21561,0.88592,0.00353,0.00262163,0.000873875,0.00262163,0.000873875,0.00262163,0.000873875,0.00262163,0.000873875
93,8736.28,1.92926,0.73218,0.00233,0.95223,0.27865,0.61638,0.37058,2.17351,0.88487,0.00349,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615,0.0025845,0.0008615
94,8828.87,1.98151,0.7461,0.00231,0.94818,0.29806,0.62441,0.37271,2.16762,0.88195,0.00347,0.00254737,0.000849125,0.00254737,0.000849125,0.00254737,0.000849125,0.00254737,0.000849125
95,8922.69,1.97296,0.74645,0.00235,0.95301,0.29286,0.62368,0.37409,2.16768,0.88182,0.00347,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675,0.00251025,0.00083675
96,9015.92,1.94273,0.73245,0.00231,0.95294,0.29945,0.62685,0.37593,2.15413,0.87106,0.00347,0.00247313,0.000824375,0.00247313,0.000824375,0.00247313,0.000824375,0.00247313,0.000824375
